file,BsLARVcov,BtiLARVcov,models,seed
wu20181002_LSM_Fillinger2006_test_57.xml,BsLARVcov100,BtiLARVcov40,base,1
wu20181002_LSM_Fillinger2006_test_58.xml,BsLARVcov20,BtiLARVcov40,base,1
wu20181002_LSM_Fillinger2006_test_59.xml,BsLARVcov30,BtiLARVcov40,base,1
wu20181002_LSM_Fillinger2006_test_60.xml,BsLARVcov40,BtiLARVcov40,base,1
wu20181002_LSM_Fillinger2006_test_61.xml,BsLARVcov50,BtiLARVcov40,base,1
wu20181002_LSM_Fillinger2006_test_62.xml,BsLARVcov60,BtiLARVcov40,base,1
wu20181002_LSM_Fillinger2006_test_63.xml,BsLARVcov70,BtiLARVcov40,base,1
wu20181002_LSM_Fillinger2006_test_64.xml,BsLARVcov80,BtiLARVcov40,base,1
wu20181002_LSM_Fillinger2006_test_65.xml,BsLARVcov90,BtiLARVcov40,base,1
wu20181002_LSM_Fillinger2006_test_66.xml,BsLARVcov0,BtiLARVcov50,base,1
wu20181002_LSM_Fillinger2006_test_67.xml,BsLARVcov10,BtiLARVcov50,base,1
wu20181002_LSM_Fillinger2006_test_68.xml,BsLARVcov100,BtiLARVcov50,base,1
wu20181002_LSM_Fillinger2006_test_69.xml,BsLARVcov20,BtiLARVcov50,base,1
wu20181002_LSM_Fillinger2006_test_70.xml,BsLARVcov30,BtiLARVcov50,base,1
wu20181002_LSM_Fillinger2006_test_71.xml,BsLARVcov40,BtiLARVcov50,base,1
wu20181002_LSM_Fillinger2006_test_72.xml,BsLARVcov50,BtiLARVcov50,base,1
wu20181002_LSM_Fillinger2006_test_73.xml,BsLARVcov60,BtiLARVcov50,base,1
wu20181002_LSM_Fillinger2006_test_74.xml,BsLARVcov70,BtiLARVcov50,base,1
wu20181002_LSM_Fillinger2006_test_75.xml,BsLARVcov80,BtiLARVcov50,base,1
wu20181002_LSM_Fillinger2006_test_76.xml,BsLARVcov90,BtiLARVcov50,base,1
wu20181002_LSM_Fillinger2006_test_77.xml,BsLARVcov0,BtiLARVcov60,base,1
wu20181002_LSM_Fillinger2006_test_78.xml,BsLARVcov10,BtiLARVcov60,base,1
wu20181002_LSM_Fillinger2006_test_79.xml,BsLARVcov100,BtiLARVcov60,base,1
wu20181002_LSM_Fillinger2006_test_80.xml,BsLARVcov20,BtiLARVcov60,base,1
wu20181002_LSM_Fillinger2006_test_81.xml,BsLARVcov30,BtiLARVcov60,base,1
wu20181002_LSM_Fillinger2006_test_82.xml,BsLARVcov40,BtiLARVcov60,base,1
wu20181002_LSM_Fillinger2006_test_83.xml,BsLARVcov50,BtiLARVcov60,base,1
wu20181002_LSM_Fillinger2006_test_84.xml,BsLARVcov60,BtiLARVcov60,base,1
wu20181002_LSM_Fillinger2006_test_85.xml,BsLARVcov70,BtiLARVcov60,base,1
wu20181002_LSM_Fillinger2006_test_86.xml,BsLARVcov80,BtiLARVcov60,base,1
wu20181002_LSM_Fillinger2006_test_87.xml,BsLARVcov90,BtiLARVcov60,base,1
wu20181002_LSM_Fillinger2006_test_88.xml,BsLARVcov0,BtiLARVcov70,base,1
wu20181002_LSM_Fillinger2006_test_89.xml,BsLARVcov10,BtiLARVcov70,base,1
wu20181002_LSM_Fillinger2006_test_90.xml,BsLARVcov100,BtiLARVcov70,base,1
wu20181002_LSM_Fillinger2006_test_91.xml,BsLARVcov20,BtiLARVcov70,base,1
wu20181002_LSM_Fillinger2006_test_92.xml,BsLARVcov30,BtiLARVcov70,base,1
wu20181002_LSM_Fillinger2006_test_93.xml,BsLARVcov40,BtiLARVcov70,base,1
wu20181002_LSM_Fillinger2006_test_94.xml,BsLARVcov50,BtiLARVcov70,base,1
wu20181002_LSM_Fillinger2006_test_95.xml,BsLARVcov60,BtiLARVcov70,base,1
wu20181002_LSM_Fillinger2006_test_96.xml,BsLARVcov70,BtiLARVcov70,base,1
wu20181002_LSM_Fillinger2006_test_97.xml,BsLARVcov80,BtiLARVcov70,base,1
wu20181002_LSM_Fillinger2006_test_98.xml,BsLARVcov90,BtiLARVcov70,base,1
wu20181002_LSM_Fillinger2006_test_99.xml,BsLARVcov0,BtiLARVcov80,base,1
wu20181002_LSM_Fillinger2006_test_100.xml,BsLARVcov10,BtiLARVcov80,base,1
wu20181002_LSM_Fillinger2006_test_101.xml,BsLARVcov100,BtiLARVcov80,base,1
wu20181002_LSM_Fillinger2006_test_102.xml,BsLARVcov20,BtiLARVcov80,base,1
wu20181002_LSM_Fillinger2006_test_103.xml,BsLARVcov30,BtiLARVcov80,base,1
wu20181002_LSM_Fillinger2006_test_104.xml,BsLARVcov40,BtiLARVcov80,base,1
wu20181002_LSM_Fillinger2006_test_105.xml,BsLARVcov50,BtiLARVcov80,base,1
wu20181002_LSM_Fillinger2006_test_106.xml,BsLARVcov60,BtiLARVcov80,base,1
wu20181002_LSM_Fillinger2006_test_107.xml,BsLARVcov70,BtiLARVcov80,base,1
wu20181002_LSM_Fillinger2006_test_108.xml,BsLARVcov80,BtiLARVcov80,base,1
wu20181002_LSM_Fillinger2006_test_109.xml,BsLARVcov90,BtiLARVcov80,base,1
wu20181002_LSM_Fillinger2006_test_110.xml,BsLARVcov0,BtiLARVcov90,base,1
wu20181002_LSM_Fillinger2006_test_111.xml,BsLARVcov10,BtiLARVcov90,base,1
wu20181002_LSM_Fillinger2006_test_112.xml,BsLARVcov100,BtiLARVcov90,base,1
wu20181002_LSM_Fillinger2006_test_113.xml,BsLARVcov20,BtiLARVcov90,base,1
wu20181002_LSM_Fillinger2006_test_114.xml,BsLARVcov30,BtiLARVcov90,base,1
wu20181002_LSM_Fillinger2006_test_115.xml,BsLARVcov40,BtiLARVcov90,base,1
wu20181002_LSM_Fillinger2006_test_116.xml,BsLARVcov50,BtiLARVcov90,base,1
wu20181002_LSM_Fillinger2006_test_117.xml,BsLARVcov60,BtiLARVcov90,base,1
wu20181002_LSM_Fillinger2006_test_118.xml,BsLARVcov70,BtiLARVcov90,base,1
wu20181002_LSM_Fillinger2006_test_119.xml,BsLARVcov80,BtiLARVcov90,base,1
wu20181002_LSM_Fillinger2006_test_120.xml,BsLARVcov90,BtiLARVcov90,base,1
wu20181002_LSM_Fillinger2006_test_121.xml,BsLARVcov0,BtiLARVcov0,base,2
wu20181002_LSM_Fillinger2006_test_122.xml,BsLARVcov10,BtiLARVcov0,base,2
wu20181002_LSM_Fillinger2006_test_123.xml,BsLARVcov100,BtiLARVcov0,base,2
wu20181002_LSM_Fillinger2006_test_124.xml,BsLARVcov20,BtiLARVcov0,base,2
wu20181002_LSM_Fillinger2006_test_125.xml,BsLARVcov30,BtiLARVcov0,base,2
wu20181002_LSM_Fillinger2006_test_126.xml,BsLARVcov40,BtiLARVcov0,base,2
wu20181002_LSM_Fillinger2006_test_127.xml,BsLARVcov50,BtiLARVcov0,base,2
wu20181002_LSM_Fillinger2006_test_128.xml,BsLARVcov60,BtiLARVcov0,base,2
wu20181002_LSM_Fillinger2006_test_129.xml,BsLARVcov70,BtiLARVcov0,base,2
wu20181002_LSM_Fillinger2006_test_130.xml,BsLARVcov80,BtiLARVcov0,base,2
wu20181002_LSM_Fillinger2006_test_131.xml,BsLARVcov90,BtiLARVcov0,base,2
