seed,EIR,SeasonID,SeasonID_label,Duration_yr,developmentDuration,femaleEggsLaidByOviposit,developmentSurvival,LARVcov,red_simulated.EIR,red_PR,red_Nv0,red_Nv,red_simulated.EIR_cum,red_PR_cum,red_Nv0_cum,red_Nv_cum,Seasonality_grp,EIRlabel
1,3,0,No seasonality,1,11,99,60,0,0,0,0,0,0,0,0,0,Mid of rain,EIR 3
1,3,0,No seasonality,1,11,99,60,20,17.9114558623156,13.5153583617747,2.38283892163494,2.36040359814199,17.9114558623156,13.5153583617747,2.38283892163494,2.36040359814199,Mid of rain,EIR 3
1,3,0,No seasonality,1,11,99,60,40,18.9245974894654,11.4334470989761,3.22865333204496,3.21783915014243,18.9245974894654,11.4334470989761,3.22865333204496,3.21783915014243,Mid of rain,EIR 3
1,3,0,No seasonality,1,11,99,60,60,22.3905468160242,21.0580204778157,-1.09962315199537,-1.14231184832794,22.3905468160242,21.0580204778157,-1.09962315199537,-1.14231184832794,Mid of rain,EIR 3
1,3,0,No seasonality,1,11,99,60,80,41.8940489907146,36.0409556313993,1.76055657551454,1.74925272597145,41.8940489907146,36.0409556313993,1.76055657551454,1.74925272597145,Mid of rain,EIR 3
1,3,0,No seasonality,1,11,99,60,100,55.4535532407678,52.1501706484642,-2.6868940638387,-2.68948483700305,55.4535532407678,52.1501706484642,-2.6868940638387,-2.68948483700305,Mid of rain,EIR 3
1,3,1-1,"Medium seasonality,
one transmission season",1,11,99,60,0,0,0,0,0,0,0,0,0,Mid of rain,EIR 3
1,3,1-1,"Medium seasonality,
one transmission season",1,11,99,60,20,18.6991484913196,18.4166666666667,0.511610849772047,0.519896276851175,18.6991484913196,18.4166666666667,0.511610849772047,0.519896276851175,Mid of rain,EIR 3
1,3,1-1,"Medium seasonality,
one transmission season",1,11,99,60,40,38.1187287234518,37.5833333333333,-1.06985525487729,-1.06988507219003,38.1187287234518,37.5833333333333,-1.06985525487729,-1.06988507219003,Mid of rain,EIR 3
1,3,1-1,"Medium seasonality,
one transmission season",1,11,99,60,60,39.7625961632967,37.8333333333333,-4.66018626256955,-4.66434036559209,39.7625961632967,37.8333333333333,-4.66018626256955,-4.66434036559209,Mid of rain,EIR 3
1,3,1-1,"Medium seasonality,
one transmission season",1,11,99,60,80,64.8108900186742,62.9166666666667,-1.00330056911047,-1.00649870346064,64.8108900186742,62.9166666666667,-1.00330056911047,-1.00649870346064,Mid of rain,EIR 3
1,3,1-1,"Medium seasonality,
one transmission season",1,11,99,60,100,80.5190360885998,77.8333333333333,-1.13912645843048,-1.14799756698786,80.5190360885998,77.8333333333333,-1.13912645843048,-1.14799756698786,Mid of rain,EIR 3
1,3,2-1,"High seasonality,
one transmission season",1,11,99,60,0,0,0,0,0,0,0,0,0,Mid of rain,EIR 3
1,3,2-1,"High seasonality,
one transmission season",1,11,99,60,20,6.919453102862,6.89655172413794,0.939976864744443,0.930182208402247,6.919453102862,6.89655172413794,0.939976864744443,0.930182208402247,Mid of rain,EIR 3
1,3,2-1,"High seasonality,
one transmission season",1,11,99,60,40,41.5185782091244,36.5900383141763,0.019707810290906,0.0200815184138213,41.5185782091244,36.5900383141763,0.019707810290906,0.0200815184138213,Mid of rain,EIR 3
1,3,2-1,"High seasonality,
one transmission season",1,11,99,60,60,46.8442724567866,45.5938697318008,-1.05651000385589,-1.03733593556343,46.8442724567866,45.5938697318008,-1.05651000385589,-1.03733593556343,Mid of rain,EIR 3
1,3,2-1,"High seasonality,
one transmission season",1,11,99,60,80,67.9407232927175,61.8773946360153,-0.373591534210199,-0.369311674578994,67.9407232927175,61.8773946360153,-0.373591534210199,-0.369311674578994,Mid of rain,EIR 3
1,3,2-1,"High seasonality,
one transmission season",1,11,99,60,100,69.5339508359309,63.7931034482759,-2.28267854847694,-2.29949074524397,69.5339508359309,63.7931034482759,-2.28267854847694,-2.29949074524397,Mid of rain,EIR 3
1,3,2-2,"High seasonality,
two transmission seasons",1,11,99,60,0,0,0,0,0,0,0,0,0,Mid of rain,EIR 3
1,3,2-2,"High seasonality,
two transmission seasons",1,11,99,60,20,30.1712722481895,31.2272174969623,-1.47811753147995,-1.44903727683424,30.1712722481895,31.2272174969623,-1.47811753147995,-1.44903727683424,Mid of rain,EIR 3
1,3,2-2,"High seasonality,
two transmission seasons",1,11,99,60,40,39.814545973298,38.3961117861482,-0.520493855149679,-0.539704781001622,39.814545973298,38.3961117861482,-0.520493855149679,-0.539704781001622,Mid of rain,EIR 3
1,3,2-2,"High seasonality,
two transmission seasons",1,11,99,60,60,66.7626104542365,65.0060753341434,-0.221753053532454,-0.204865556978222,66.7626104542365,65.0060753341434,-0.221753053532454,-0.204865556978222,Mid of rain,EIR 3
1,3,2-2,"High seasonality,
two transmission seasons",1,11,99,60,80,72.0090293453725,65.3705953827461,-1.76599503122019,-1.72154712149398,72.0090293453725,65.3705953827461,-1.76599503122019,-1.72154712149398,Mid of rain,EIR 3
