LARVcov,EIR,outcome,outcomeLabel,Frequency_fct,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
20,3,Nv,Host-seeking mosquitoes,5,15.9008439775993,19.8028889513716,18.0684671453061,18.4598639944484,1.18075501962729,18,17.1040618279291,18.8793434394431,16.0865717315485,19.733156154875,0.278306627099504,17.4812914880373,18.6556428025748,0
20,3,Nv,Host-seeking mosquitoes,10,8.00818757363111,10.4575847755468,9.17099066496674,9.41172099102206,0.837120286327895,18,8.32010678131696,9.78048678649539,8.03242859982811,10.3183247590936,0.197311143710426,8.75470054028637,9.5872807896471,0
20,3,Nv,Host-seeking mosquitoes,15,4.42541023965553,8.29166758633457,6.26080027960333,6.28384237348915,1.09332495733768,18,5.43773863754793,6.67183701055721,4.49544117476199,8.21014549186123,0.257699163791323,5.71710256944177,6.80449798976488,0
20,3,Nv,Host-seeking mosquitoes,20,2.08650656579637,7.0045990410322,4.89168242080679,4.78767121765546,1.43481161528642,18,3.81219098062375,6.08003838483221,2.36884987251206,6.9839966305611,0.338188340964751,4.17816739079775,5.60519745081583,0
20,3,Nv,Host-seeking mosquitoes,30,0.369108885464375,6.29615697573862,3.01210510923834,2.68307138582627,1.50690455140695,18,2.00053429469172,3.61179192784759,0.767387638691756,5.99259504480443,0.355180808966909,2.26273910553252,3.76147111294416,0
20,3,Nv,Host-seeking mosquitoes,60,-0.505748515802426,3.22096480406298,1.54071336262513,1.58766825376903,1.11268936521403,18,0.933055491870815,2.45495214393096,-0.501793911483061,3.15257774149338,0.262263398498998,0.98738595897644,2.09404076627382,0
20,3,Nv,Host-seeking mosquitoes,once,-0.631811966549878,3.10047732456896,0.810764011605504,0.656888582835894,0.918980468440084,18,0.215422853766945,1.15183191073883,-0.448743264668732,2.66925950856653,0.216605773670658,0.353765776066513,1.2677622471445,0
20,10,Nv,Host-seeking mosquitoes,5,15.4219175838514,19.6131592229465,17.7758872453592,18.0003474756749,1.14678487920987,18,17.2401071949083,18.3936066281442,15.7801028856681,19.526393818657,0.270299788217165,17.2056045414936,18.3461699492248,0
20,10,Nv,Host-seeking mosquitoes,10,7.77109574003637,11.9783162896639,9.36783846762737,9.20267508753211,1.1607441208946,18,8.77488610155526,9.98502742854009,7.82343774127778,11.749467263737,0.273590013035663,8.79061399618511,9.94506293906964,0
20,10,Nv,Host-seeking mosquitoes,15,4.30418040691166,7.84824460191081,6.25000613956,6.29010084072649,1.04589248280694,18,5.6133936122892,7.10811878102335,4.34015469650821,7.80253335029549,0.246519222328273,5.72989604405646,6.77011623506355,0
20,10,Nv,Host-seeking mosquitoes,20,1.95317888251668,6.04185607432124,4.59096649196662,4.5791776259407,1.05048680212195,18,4.0258207217858,5.37709284670416,2.5811267442702,6.03126365157685,0.247602113775801,4.06857169521797,5.11336128871526,0
20,10,Nv,Host-seeking mosquitoes,30,-0.780652440941514,5.48427920371875,3.3116014143929,3.18241480811905,1.56362946960457,18,2.35663412592583,4.51222758541664,0.309337282982155,5.4165924903356,0.368551000406839,2.5340267725085,4.0891760562773,0
20,10,Nv,Host-seeking mosquitoes,60,0.0371687023294975,3.53967798334566,1.79443962248133,1.73658058760369,1.02993869384314,18,1.17714854738792,2.39993553460615,0.0587628715458076,3.35944216395221,0.242758878207633,1.28226315958152,2.30661608538113,0
20,10,Nv,Host-seeking mosquitoes,once,-1.14156007476074,3.04911258059714,0.880739231143202,1.06867601877276,1.25627619688063,18,-0.301202428451688,1.63498437608091,-0.989534012459213,2.792589806754,0.296107139285846,0.256007775970264,1.50547068631614,0
20,90,Nv,Host-seeking mosquitoes,5,15.7017223128055,21.290691344433,17.9254190103261,18.0784473266435,1.25787254496982,18,17.1460774160841,18.4457257660866,15.9611516728309,20.3347079408026,0.296483402138847,17.2998937099245,18.5509443107276,0
