PostInterventionDays,EIR,LARVcov,outcome,outcomeLabel,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
365,3,0,Nv,Host-seeking mosquitoes,0,0,0,0,0,18,0,0,0,0,0,0,0,0
365,3,0,PR,Prevalence,0,0,0,0,0,18,0,0,0,0,0,0,0,0
365,3,0,simulatedEIR,EIR,0,0,0,0,0,18,0,0,0,0,0,0,0,0
365,3,10,Nv,Host-seeking mosquitoes,8.63565171204211,12.538100986873,10.6350100072436,10.5793307513368,1.10261243877302,18,10.0319558417262,11.1549365438029,8.85938665262339,12.5269108122557,0.259888244159013,10.0866937412211,11.183326273266,0
365,3,10,PR,Prevalence,7.34799332047381,17.5054079614868,12.9069020756794,12.7348967138244,3.09139954039137,18,10.5806034025141,15.6642634188521,7.84547248281038,17.4710899275959,0.728649859455905,11.3695852514133,14.4442188999456,0
365,3,10,simulatedEIR,EIR,15.5681962178423,27.1553923138846,21.6667460975699,21.0627422290274,3.63884369469842,18,18.3363597182794,24.4716444115448,16.4692780487034,27.0847320935825,0.857683684066387,19.8571917000732,23.4763004950666,0
365,3,20,Nv,Host-seeking mosquitoes,19.3629157711971,23.2666992320466,20.8884371771414,20.7466209250433,1.10370541659492,18,20.047408580847,21.2341112070445,19.4007448929802,23.0357553068756,0.260145861502198,20.3395773860352,21.4372969682476,0
365,3,20,PR,Prevalence,22.0201419396584,30.5325850218579,24.7911461714689,24.7170618314645,2.19975413510097,18,23.0437130646874,26.2038857962521,22.081262181078,29.2379310873859,0.518487021957682,23.6972341756382,25.8850581672997,0
365,3,20,simulatedEIR,EIR,36.2822733600879,45.9582570682091,40.5860655821154,40.4644299542188,2.26517107955606,18,39.344265558361,41.3167818395501,36.9906387951175,45.4673893985757,0.533905943633914,39.4596225051388,41.712508659092,0
365,3,30,Nv,Host-seeking mosquitoes,29.5437931211293,34.7260280992848,31.2300816722379,30.9270863325238,1.49080056575342,18,30.2208731712404,31.5042012505235,29.6062239515606,34.69428475266,0.351385063146995,30.4887239921924,31.9714393522833,0
365,3,30,PR,Prevalence,34.53049080849,42.3495432984863,37.2876149791282,36.9634152977908,2.23598701632148,18,35.7444357536704,38.7509840231748,34.5769629503348,41.8446155119449,0.527027193961999,36.1756847953654,38.399545162891,0
365,3,30,simulatedEIR,EIR,53.2656717768235,62.7879727850928,56.7202343457809,56.1651200929922,2.50556626112369,18,54.8172808449402,58.213263548593,53.5469853338616,61.8606569951964,0.590567631317594,55.4742455574629,57.9662231340988,0
365,3,40,Nv,Host-seeking mosquitoes,39.4231471057224,46.5031914683126,41.4168265309477,40.5164454961393,2.0511569832723,18,40.1368711599626,41.8415606069119,39.5530217218581,46.2389484918224,0.483462337383328,40.3968101602406,42.4368429016547,0
365,3,40,PR,Prevalence,44.2873881367265,51.6247214680652,47.5325305882162,46.9704107049203,2.29429216054436,18,45.8537343480531,49.5720544022182,44.6408175446616,51.5206128744751,0.540769848248018,46.39160593836,48.6734552380724,0
365,3,40,simulatedEIR,EIR,65.2766198198111,73.8468567677517,68.8121436366087,68.3958577634711,2.31728006215363,18,67.1350599353773,70.2151215389969,65.6321515310018,73.4286897611875,0.546188148619072,67.6597873722243,69.9644999009932,0
365,3,50,Nv,Host-seeking mosquitoes,49.821030008654,58.0001951264264,51.8657197541528,50.9385875708731,2.45975430890631,18,50.3417641274374,51.9216434073917,49.8472521721858,57.8989265372738,0.579769650626826,50.6425127137053,53.0889267946003,0
365,3,50,PR,Prevalence,54.06696555843,62.9430256736484,57.4279860567895,57.1259799693936,2.02990825512391,18,56.3675930807061,57.9151016805884,54.4592149933909,62.0883673550358,0.478453964128224,56.4185364299956,58.4374356835833,0
365,3,50,simulatedEIR,EIR,76.9392628875605,84.0571670044198,79.2209070880958,78.8095933174366,1.93026775238396,18,78.0633055301588,79.7147071102701,77.0471768234885,83.9354016057255,0.45496847240547,78.2610075175917,80.1808066585999,0
365,3,60,Nv,Host-seeking mosquitoes,60.1222230468614,69.87038897373,62.3466062922304,61.0783442669932,3.0134096238896,18,60.5295481897285,62.1388718958196,60.1767763942704,69.7575555483481,0.710267459848381,60.8480729410142,63.8451396434466,0
365,3,60,PR,Prevalence,63.1699295316486,72.6703475212363,65.940051570387,65.4360253413937,2.3875090902388,18,64.1903866490096,67.1466458679605,63.4121114915042,71.3989137378735,0.562741289284126,64.7527712319653,67.1273319088086,0
365,3,60,simulatedEIR,EIR,84.9674033536664,91.6817141716396,86.882318367521,86.4609313220139,1.84654982582931,18,85.6638930046145,87.4772835323555,84.9689826898803,91.2274632793027,0.435235967880915,85.9640507424525,87.8005859925895,0
365,3,70,Nv,Host-seeking mosquitoes,70.175230433145,81.4783971611333,72.7834186003943,71.1676729572115,3.48178515611374,18,70.7276667601458,72.7532975218472,70.2946254288485,81.3751813768555,0.820664631507563,71.0519675766628,74.5148696241258,0
365,3,70,PR,Prevalence,71.0700531079381,77.1834174248953,73.5548106501221,73.7010926686597,1.58052331433591,18,72.4311096140218,74.0971215877371,71.3691161642993,76.8127766899109,0.372532917796786,72.7688348968987,74.3407864033454,0
365,3,70,simulatedEIR,EIR,91.1861056912077,95.6785581205982,92.6583823724201,92.4595105902492,1.27787983604052,18,91.7330042527126,92.9903001963245,91.2913989574302,95.6222573033227,0.301199165868603,92.0229076802401,93.2938570646,0
365,3,80,Nv,Host-seeking mosquitoes,80.1126569571109,93.1449307149936,83.1033853761215,81.3977014545202,4.07111219368262,18,80.6745740158025,83.0812641927699,80.1380354978564,93.1342970358219,0.959570346374741,81.0788689113132,85.1279018409299,0
365,3,80,PR,Prevalence,77.2179052764386,82.7167481887182,79.4745442687094,79.104823141229,1.51509074930699,18,78.5725883929442,80.0092638892537,77.2937107621562,82.6141047631475,0.357110314315994,78.7211073645606,80.2279811728582,0
365,3,80,simulatedEIR,EIR,95.2811093477233,98.8238130686674,96.4210965221508,96.1199855908244,1.01207237093028,18,95.7580015122568,96.6613237156906,95.4159821649326,98.8168507109604,0.238547745512116,95.9178047726123,96.9243882716892,0
365,3,90,Nv,Host-seeking mosquitoes,90.2974100090499,99.985061682602,92.926107054199,91.3873097142756,3.24766639051378,18,90.7582404353983,93.3094419481632,90.3033579767181,99.9708474167173,0.765482309254644,91.3110805535777,94.5411335548203,0
365,3,90,PR,Prevalence,82.1938327305927,85.9883031705128,83.6365125734808,83.445675220139,1.00750654822484,18,83.0565285109915,84.1595228479773,82.2090031367535,85.5533313524058,0.237471570779879,83.1354913541568,84.1375337928047,0
365,3,90,simulatedEIR,EIR,98.2172381296888,99.9967889906849,98.8139008754944,98.5644102653873,0.568022608405501,18,98.4874217485237,98.9381612159568,98.2214671765365,99.9932651879989,0.133884212756934,98.5314298777939,99.0963718731949,0
