PostInterventionDays,EIR,LARVcov,outcome,outcomeLabel,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
-100,10,0,Nv,Host-seeking mosquitoes,0,0,0,0,0,18,0,0,0,0,0,0,0,0
-100,10,0,PR,Prevalence,0,0,0,0,0,18,0,0,0,0,0,0,0,0
-100,10,0,simulatedEIR,EIR,0,0,0,0,0,18,0,0,0,0,0,0,0,0
-100,10,20,Nv,Host-seeking mosquitoes,-1.17317555182511,1.90806914131709,-0.0661808314749132,-0.308150745936882,0.691745377625035,18,-0.45551215621373,0.387257376140624,-0.975948173347434,1.33933585028385,0.16304594912437,-0.410177714840128,0.277816051890302,0
-100,10,20,PR,Prevalence,-2.67678588917436,1.19854111209709,-0.00119726698844747,0.233850360006797,1.02722322732741,18,-0.539848157598525,0.722456492662838,-2.11832488373768,1.1966768301212,0.242118836611848,-0.512023360159004,0.50962882618211,0
-100,10,20,simulatedEIR,EIR,-2.75536832280502,2.49980878665677,0.103370613065788,0.307125123925627,1.49885694794759,18,-1.04285841555168,1.18322417782295,-2.43478285790229,2.24204556222127,0.353283970640771,-0.641993411590919,0.848734637722495,0
-100,10,40,Nv,Host-seeking mosquitoes,-1.68100953228398,2.24895931368209,0.144713527965706,0.137040783837974,1.37587490198448,18,-1.22171627678366,0.992000629249279,-1.56280745590013,2.21326738168006,0.324296824419201,-0.5394929640358,0.828920019967213,0
-100,10,40,PR,Prevalence,-2.30370068804442,2.71904037026205,0.0898380456065248,0.256146760580667,1.21192940743677,18,-0.504942292376633,0.764512499628065,-2.2199801695873,2.03644052167768,0.285654500772644,-0.512840270001798,0.692516361214848,0
-100,10,40,simulatedEIR,EIR,-3.22870649131101,3.07047835154426,0.212805665136012,0.71693169470255,1.88268259167455,18,-1.04537335801105,1.58010409727052,-3.14768070714094,2.86287978951522,0.443752542464978,-0.72343036165974,1.14904169193176,0
-100,10,60,Nv,Host-seeking mosquitoes,-1.64484254561045,1.5301930782248,0.159160034788697,0.312431963734918,1.03405757633465,18,-0.649300274191849,1.06642811464279,-1.49004066889414,1.52918552587753,0.243729708121186,-0.355064700186148,0.673384769763542,0
-100,10,60,PR,Prevalence,-2.33229536714682,2.61842510526587,0.592896331011237,0.800344248844849,1.16135853840671,18,-0.154008252277007,1.34208691843838,-1.62923879522445,2.3243188598669,0.273734832632094,0.0153663169284489,1.17042634509403,0
-100,10,60,simulatedEIR,EIR,-3.23092460021997,3.47778010837487,0.830042186861141,1.15103919055328,1.93422104288457,18,0.486635549160455,1.97017590034267,-3.16062795346363,3.46494720762656,0.455900271912466,-0.131823308758225,1.79190768248051,0
