month,EIR,Duration_mth,SeasonID,SeasonID_label,deploy_mth,EffectSeason,LARVcov,red_PR,deploy_mth_adj,WetSeason,movingCoverage
1,90,4,1-2,"Medium seasonality,
two transmission seasons",1,Most effective,20,1.45364696714276,-3,-5,40
1,90,4,1-2,"Medium seasonality,
two transmission seasons",1,Most effective,40,4.23764042028305,-3,-5,40
1,90,4,1-2,"Medium seasonality,
two transmission seasons",1,Most effective,60,8.32235041407463,-3,-5,40
1,90,4,1-2,"Medium seasonality,
two transmission seasons",1,Most effective,80,16.5988890989968,-3,-5,40
1,90,4,1-2,"Medium seasonality,
two transmission seasons",1,Most effective,100,31.0628829469536,-3,-5,40
1,10,4,2-1,"High seasonality,
one transmission season",1,Most effective,0,0,-3,-5,40
1,10,4,2-1,"High seasonality,
one transmission season",1,Most effective,20,8.45604855114551,-3,-5,40
1,10,4,2-1,"High seasonality,
one transmission season",1,Most effective,40,22.0353392805399,-3,-5,40
1,10,4,2-1,"High seasonality,
one transmission season",1,Most effective,60,35.0921575483368,-3,-5,40
1,10,4,2-1,"High seasonality,
one transmission season",1,Most effective,80,54.170309556045,-3,-5,40
1,10,4,2-1,"High seasonality,
one transmission season",1,Most effective,100,74.0012935551132,-3,-5,40
1,3,4,2-1,"High seasonality,
one transmission season",1,Most effective,0,0,-3,-5,40
1,3,4,2-1,"High seasonality,
one transmission season",1,Most effective,20,22.1625083535059,-3,-5,40
1,3,4,2-1,"High seasonality,
one transmission season",1,Most effective,40,39.551855238605,-3,-5,40
1,3,4,2-1,"High seasonality,
one transmission season",1,Most effective,60,51.3598640820425,-3,-5,40
1,3,4,2-1,"High seasonality,
one transmission season",1,Most effective,80,68.3086589768356,-3,-5,40
1,3,4,2-1,"High seasonality,
one transmission season",1,Most effective,100,82.6121335063399,-3,-5,40
1,90,4,2-1,"High seasonality,
one transmission season",1,Most effective,0,0,-3,-5,40
1,90,4,2-1,"High seasonality,
one transmission season",1,Most effective,20,0.277249147492717,-3,-5,40
1,90,4,2-1,"High seasonality,
one transmission season",1,Most effective,40,3.99655347805798,-3,-5,40
1,90,4,2-1,"High seasonality,
one transmission season",1,Most effective,60,10.2324067615898,-3,-5,40
1,90,4,2-1,"High seasonality,
one transmission season",1,Most effective,80,22.9822965372349,-3,-5,40
1,90,4,2-1,"High seasonality,
one transmission season",1,Most effective,100,50.7793022073047,-3,-5,40
2,10,4,0,No seasonality,2,Most effective,0,0,-2,,40
2,10,4,0,No seasonality,2,Most effective,20,8.24086825819912,-2,,40
2,10,4,0,No seasonality,2,Most effective,40,11.2174436602048,-2,,40
2,10,4,0,No seasonality,2,Most effective,60,16.2848275468793,-2,,40
2,10,4,0,No seasonality,2,Most effective,80,22.0697553325615,-2,,40
2,10,4,0,No seasonality,2,Most effective,100,28.9203435919843,-2,,40
2,3,4,0,No seasonality,2,Most effective,0,0,-2,,40
2,3,4,0,No seasonality,2,Most effective,20,6.49830626073541,-2,,40
2,3,4,0,No seasonality,2,Most effective,40,15.6933410259218,-2,,40
2,3,4,0,No seasonality,2,Most effective,60,20.5406646104914,-2,,40
2,3,4,0,No seasonality,2,Most effective,80,30.9136197037291,-2,,40
2,3,4,0,No seasonality,2,Most effective,100,38.6844954050411,-2,,40
2,10,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,0,0,-2,-5,40
2,10,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,20,3.55944183483091,-2,-5,40
2,10,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,40,14.7353690423322,-2,-5,40
2,10,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,60,27.2088351451831,-2,-5,40
2,10,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,80,45.4385546058482,-2,-5,40
2,10,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,100,65.4011431138757,-2,-5,40
2,3,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,0,0,-2,-5,40
2,3,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,20,21.8663379547452,-2,-5,40
2,3,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,40,32.7442163982597,-2,-5,40
2,3,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,60,49.8536816886639,-2,-5,40
2,3,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,80,67.093281346832,-2,-5,40
2,3,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,100,85.4527633709777,-2,-5,40
2,90,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,0,0,-2,-5,40
2,90,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,20,-0.377006306002408,-2,-5,40
2,90,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,40,2.19648329613856,-2,-5,40
2,90,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,60,4.29938073204531,-2,-5,40
2,90,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,80,12.7357219077305,-2,-5,40
2,90,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,100,35.7827155019203,-2,-5,40
2,90,4,0,No seasonality,2,Most effective,0,0,-2,,40
2,90,4,0,No seasonality,2,Most effective,20,1.91410666020523,-2,,40
2,90,4,0,No seasonality,2,Most effective,40,4.93672843789532,-2,,40
2,90,4,0,No seasonality,2,Most effective,60,7.54814757579872,-2,,40
2,90,4,0,No seasonality,2,Most effective,80,11.1983975938652,-2,,40
2,90,4,0,No seasonality,2,Most effective,100,15.4169589191198,-2,,40
2,10,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,0,0,-2,-5,40
2,10,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,20,6.1569511432213,-2,-5,40
2,10,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,40,14.4700453777851,-2,-5,40
2,10,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,60,23.6000589407507,-2,-5,40
