seed,EIR,SeasonID,SeasonID_label,Duration_yr,developmentDuration,femaleEggsLaidByOviposit,developmentSurvival,LARVcov,red_simulated.EIR,red_PR,red_Nv0,red_Nv,red_simulated.EIR_cum,red_PR_cum,red_Nv0_cum,red_Nv_cum,Seasonality_grp,EIRlabel,Seasonality_grp2
1,3,0,No seasonality,1,11,99,60,0,0,0,0,0,0,0,0,0,Mid of rain,EIR 3,Mid of rain
1,3,0,No seasonality,1,11,99,60,20,17.9114558623156,13.5153583617747,2.38283892163494,2.36040359814199,17.9114558623156,13.5153583617747,2.38283892163494,2.36040359814199,Mid of rain,EIR 3,Mid of rain
1,3,0,No seasonality,1,11,99,60,40,18.9245974894654,11.4334470989761,3.22865333204496,3.21783915014243,18.9245974894654,11.4334470989761,3.22865333204496,3.21783915014243,Mid of rain,EIR 3,Mid of rain
1,3,0,No seasonality,1,11,99,60,60,22.3905468160242,21.0580204778157,-1.09962315199537,-1.14231184832794,22.3905468160242,21.0580204778157,-1.09962315199537,-1.14231184832794,Mid of rain,EIR 3,Mid of rain
1,3,0,No seasonality,1,11,99,60,80,41.8940489907146,36.0409556313993,1.76055657551454,1.74925272597145,41.8940489907146,36.0409556313993,1.76055657551454,1.74925272597145,Mid of rain,EIR 3,Mid of rain
1,3,0,No seasonality,1,11,99,60,100,55.4535532407678,52.1501706484642,-2.6868940638387,-2.68948483700305,55.4535532407678,52.1501706484642,-2.6868940638387,-2.68948483700305,Mid of rain,EIR 3,Mid of rain
1,3,1-1,"Medium seasonality,
one transmission season",1,11,99,60,0,0,0,0,0,0,0,0,0,Mid of rain,EIR 3,Mid of rain
1,3,1-1,"Medium seasonality,
one transmission season",1,11,99,60,20,18.6991484913196,18.4166666666667,0.511610849772047,0.519896276851175,18.6991484913196,18.4166666666667,0.511610849772047,0.519896276851175,Mid of rain,EIR 3,Mid of rain
1,3,1-1,"Medium seasonality,
one transmission season",1,11,99,60,40,38.1187287234518,37.5833333333333,-1.06985525487729,-1.06988507219003,38.1187287234518,37.5833333333333,-1.06985525487729,-1.06988507219003,Mid of rain,EIR 3,Mid of rain
1,3,1-1,"Medium seasonality,
one transmission season",1,11,99,60,60,39.7625961632967,37.8333333333333,-4.66018626256955,-4.66434036559209,39.7625961632967,37.8333333333333,-4.66018626256955,-4.66434036559209,Mid of rain,EIR 3,Mid of rain
