month,EIR,Duration_mth,SeasonID,SeasonID_label,deploy_mth,EffectSeason,LARVcov,red_PR,deploy_mth_adj,WetSeason,movingCoverage
6,3,4,2-2,"High seasonality,
two transmission seasons",6,Least effective,60,4.9921345177535,2,,60
6,90,4,2-2,"High seasonality,
two transmission seasons",6,Least effective,60,1.93154389393334,2,,60
6,10,4,1-1,"Medium seasonality,
one transmission season",6,Least effective,60,5.56700268952131,2,,60
6,3,4,1-1,"Medium seasonality,
one transmission season",6,Least effective,60,11.9940203536654,2,,60
6,90,4,1-1,"Medium seasonality,
one transmission season",6,Least effective,60,3.02446734125598,2,,60
6,10,4,1-2,"Medium seasonality,
two transmission seasons",6,Least effective,60,8.15633339577453,2,,60
6,3,4,1-2,"Medium seasonality,
two transmission seasons",6,Least effective,60,14.2927788796334,2,,60
6,90,4,1-2,"Medium seasonality,
two transmission seasons",6,Least effective,60,6.49052332120243,2,,60
6,10,4,2-1,"High seasonality,
one transmission season",6,Least effective,60,0.672227296078332,2,,60
6,3,4,2-1,"High seasonality,
one transmission season",6,Least effective,60,14.8140408725126,2,,60
6,90,4,2-1,"High seasonality,
one transmission season",6,Least effective,60,1.13596082880733,2,,60
7,10,4,2-2,"High seasonality,
two transmission seasons",7,Least effective,80,5.54007458628218,3,,80
7,3,4,2-2,"High seasonality,
two transmission seasons",7,Least effective,80,11.5059015527084,3,,80
7,90,4,2-2,"High seasonality,
two transmission seasons",7,Least effective,80,3.33896574554885,3,,80
7,10,4,1-1,"Medium seasonality,
one transmission season",7,Least effective,80,7.25109686693075,3,,80
7,3,4,1-1,"Medium seasonality,
one transmission season",7,Least effective,80,6.71423667919142,3,,80
7,90,4,1-1,"Medium seasonality,
one transmission season",7,Least effective,80,4.15068711370513,3,,80
7,10,4,1-2,"Medium seasonality,
two transmission seasons",7,Least effective,80,15.6727862787358,3,,80
7,3,4,1-2,"Medium seasonality,
two transmission seasons",7,Least effective,80,25.6490494308665,3,,80
7,90,4,1-2,"Medium seasonality,
two transmission seasons",7,Least effective,80,13.0271361460122,3,,80
7,10,4,2-1,"High seasonality,
one transmission season",7,Least effective,80,-2.43841806423808,3,,80
7,3,4,2-1,"High seasonality,
one transmission season",7,Least effective,80,0.144116661844688,3,,80
7,90,4,2-1,"High seasonality,
one transmission season",7,Least effective,80,1.65497185999527,3,,80
8,10,4,2-2,"High seasonality,
two transmission seasons",8,Least effective,80,10.6095536924912,4,,80
8,3,4,2-2,"High seasonality,
two transmission seasons",8,Least effective,80,14.3162375976673,4,,80
8,90,4,2-2,"High seasonality,
two transmission seasons",8,Least effective,80,6.52679678231861,4,,80
8,10,4,1-1,"Medium seasonality,
one transmission season",8,Least effective,80,4.90370138190837,4,,80
8,3,4,1-1,"Medium seasonality,
one transmission season",8,Least effective,80,8.95841929269818,4,,80
8,90,4,1-1,"Medium seasonality,
one transmission season",8,Least effective,80,4.95041483019202,4,,80
8,10,4,1-2,"Medium seasonality,
two transmission seasons",8,Least effective,80,19.9378875348335,4,,80
8,3,4,1-2,"Medium seasonality,
two transmission seasons",8,Least effective,80,30.89900462842,4,,80
8,90,4,1-2,"Medium seasonality,
two transmission seasons",8,Least effective,80,11.8899671916949,4,,80
8,10,4,2-1,"High seasonality,
one transmission season",8,Least effective,80,2.10111003557282,4,,80
8,3,4,2-1,"High seasonality,
one transmission season",8,Least effective,80,0.367544530972121,4,,80
8,90,4,2-1,"High seasonality,
one transmission season",8,Least effective,80,0.520814256790789,4,,80
9,10,4,2-2,"High seasonality,
two transmission seasons",9,Least effective,80,1.02163020747893,5,,80
9,3,4,2-2,"High seasonality,
two transmission seasons",9,Least effective,80,4.12412781307472,5,,80
9,90,4,2-2,"High seasonality,
two transmission seasons",9,Least effective,80,3.93165049905209,5,,80
9,10,4,1-1,"Medium seasonality,
one transmission season",9,Least effective,80,11.3033132329189,5,,80
9,3,4,1-1,"Medium seasonality,
one transmission season",9,Least effective,80,11.4714895837819,5,,80
9,90,4,1-1,"Medium seasonality,
one transmission season",9,Least effective,80,7.60105579160853,5,,80
9,10,4,1-2,"Medium seasonality,
two transmission seasons",9,Least effective,80,15.2274478606152,5,,80
9,3,4,1-2,"Medium seasonality,
two transmission seasons",9,Least effective,80,19.7055937612183,5,,80
9,90,4,1-2,"Medium seasonality,
two transmission seasons",9,Least effective,80,11.0839749616342,5,,80
9,10,4,2-1,"High seasonality,
one transmission season",9,Least effective,80,3.12513385720564,5,,80
9,3,4,2-1,"High seasonality,
one transmission season",9,Least effective,80,-10.7224620971777,5,,80
9,90,4,2-1,"High seasonality,
one transmission season",9,Least effective,80,0.142532642761713,5,,80
10,10,4,2-2,"High seasonality,
two transmission seasons",10,Least effective,80,1.17727909546097,-6,,80
10,3,4,2-2,"High seasonality,
two transmission seasons",10,Least effective,80,0.637823486249943,-6,,80
10,90,4,2-2,"High seasonality,
two transmission seasons",10,Least effective,80,1.63492442469174,-6,,80
10,10,4,1-1,"Medium seasonality,
one transmission season",10,Least effective,80,22.0262992760028,-6,,80
10,3,4,1-1,"Medium seasonality,
one transmission season",10,Least effective,80,23.8898477947724,-6,,80
10,90,4,1-1,"Medium seasonality,
one transmission season",10,Least effective,80,16.3897160478045,-6,,80
10,10,4,1-2,"Medium seasonality,
two transmission seasons",10,Least effective,80,12.6321239689806,-6,,80
10,3,4,1-2,"Medium seasonality,
two transmission seasons",10,Least effective,80,17.092666810597,-6,,80
10,90,4,1-2,"Medium seasonality,
two transmission seasons",10,Least effective,80,9.25484930369363,-6,,80
10,10,4,2-1,"High seasonality,
one transmission season",10,Least effective,80,6.59570515419851,-6,,80
10,3,4,2-1,"High seasonality,
one transmission season",10,Least effective,80,21.1466343147526,-6,,80
10,90,4,2-1,"High seasonality,
one transmission season",10,Least effective,80,6.33021267983226,-6,,80
11,10,4,2-2,"High seasonality,
two transmission seasons",11,Most effective,80,15.432642579659,-5,,80
11,3,4,2-2,"High seasonality,
two transmission seasons",11,Most effective,80,22.3432780424797,-5,,80
