file,developmentDuration,developmentSurvival,EIR,femaleEggsLaidByOviposit,LARVcov,LSMDeployTime,models,Seasonality_grp,seed
wu31052019_LSM_forPaper_constant_duration_27.xml,developmentDuration5,developmentSurvival60,EIR3,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_28.xml,developmentDuration11,developmentSurvival90,EIR3,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_29.xml,developmentDuration5,developmentSurvival90,EIR3,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_30.xml,developmentDuration11,developmentSurvival10,EIR90,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_31.xml,developmentDuration5,developmentSurvival10,EIR90,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_32.xml,developmentDuration11,developmentSurvival60,EIR90,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_33.xml,developmentDuration5,developmentSurvival60,EIR90,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_34.xml,developmentDuration11,developmentSurvival90,EIR90,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_35.xml,developmentDuration5,developmentSurvival90,EIR90,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_36.xml,developmentDuration11,developmentSurvival10,EIR10,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_37.xml,developmentDuration5,developmentSurvival10,EIR10,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_38.xml,developmentDuration11,developmentSurvival60,EIR10,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_39.xml,developmentDuration5,developmentSurvival60,EIR10,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_40.xml,developmentDuration11,developmentSurvival90,EIR10,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_41.xml,developmentDuration5,developmentSurvival90,EIR10,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_42.xml,developmentDuration11,developmentSurvival10,EIR3,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_43.xml,developmentDuration5,developmentSurvival10,EIR3,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_44.xml,developmentDuration11,developmentSurvival60,EIR3,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_45.xml,developmentDuration5,developmentSurvival60,EIR3,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_46.xml,developmentDuration11,developmentSurvival90,EIR3,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
